scientific_name,ebird_code,common_name,alpha
Calodactylodes aureus,,,
Caloenas nicobarica,nicpig1,Nicobar Pigeon,
Calonectris borealis,corshe1,Cory's Shearwater,CORS
Calonectris diomedea,scoshe1,Scopoli's Shearwater,SCSH
Calonectris edwardsii,cavshe1,Cape Verde Shearwater,CVSH
Calonectris leucomelas,strshe,Streaked Shearwater,STRS
Caloperdix oculeus,ferpar2,Ferruginous Partridge,
Caloramphus fuliginosus,brnbar2,Brown Barbet,
Caloramphus hayii,soobar2,Sooty Barbet,
Calothorax lucifer,luchum,Lucifer Sheartail,LUHU
Calothorax pulcher,beahum1,Beautiful Sheartail,BEAH
Calypte anna,annhum,Anna's Hummingbird,ANHU
Calypte costae,coshum,Costa's Hummingbird,COHU
Calyptocephalella gayi,,,
Calyptocichla serinus,golgre1,Golden Greenbul,
Calyptomena hosii,hosbro1,Hose's Broadbill,
Calyptomena viridis,grebro1,Green Broadbill,
Calyptomena whiteheadi,whibro1,Whitehead's Broadbill,
Calyptophilus frugivorus,eactan1,Eastern Chat-Tanager,EACT
Calyptophilus tertius,wectan1,Western Chat-Tanager,WECT
Calyptorhynchus banksii,rtbcoc1,Red-tailed Black Cockatoo,
Calyptorhynchus lathami,glbcoc1,Glossy Black Cockatoo,
Camarhynchus heliobates,manfin1,Mangrove Finch,
Camarhynchus pallidus,woofin1,Woodpecker Finch,
Camarhynchus parvulus,smtfin1,Small Tree Finch,
Camarhynchus pauper,metfin1,Medium Tree Finch,
Camarhynchus psittacula,latfin1,Large Tree Finch,
Camaroptera brachyura,grbcam1,Bleating Camaroptera,
Camaroptera chloronota,olgcam1,Olive-green Camaroptera,
Camaroptera harterti,gnbcam3,Hartert's Camaroptera,
Camaroptera superciliaris,yebcam1,Yellow-browed Camaroptera,
Camelus bactrianus,,,
Camelus dromedarius,,,
Camera,,,
Campephaga flava,blkcus1,Black Cuckooshrike,
Campephaga petiti,petcus1,Petit's Cuckooshrike,
Campephaga phoenicea,rescus1,Red-shouldered Cuckooshrike,
Campephaga quiscalina,putcus1,Purple-throated Cuckooshrike,
Campephilus gayaquilensis,guawoo2,Guayaquil Woodpecker,
Campephilus guatemalensis,pabwoo1,Pale-billed Woodpecker,PBIW
Campephilus haematogaster,crbwoo1,Crimson-bellied Woodpecker,CBWO
Campephilus leucopogon,crbwoo2,Cream-backed Woodpecker,
Campephilus magellanicus,magwoo1,Magellanic Woodpecker,
Campephilus melanoleucos,crcwoo1,Crimson-crested Woodpecker,CCRW
Campephilus pollens,powwoo1,Powerful Woodpecker,
Campephilus principalis,ivbwoo,Ivory-billed Woodpecker,IBWO
Campephilus robustus,robwoo1,Robust Woodpecker,
Campephilus rubricollis,renwoo1,Red-necked Woodpecker,
Campethera abingoni,gotwoo1,Golden-tailed Woodpecker,
Campethera bennettii,benwoo1,Bennett's Woodpecker,
Campethera maculosa,grbwoo2,Green-backed Woodpecker,
Campethera mombassica,momwoo1,Mombasa Woodpecker,
Campethera notata,knywoo1,Knysna Woodpecker,
Campethera nubica,nubwoo1,Nubian Woodpecker,
Campethera punctuligera,fiswoo1,Fine-spotted Woodpecker,
Campethera scriptoricauda,reiwoo1,Speckle-throated Woodpecker,
Campicoloides bifasciatus,busbus1,Buff-streaked Chat,
Campochaera sloetii,golcus1,Golden Cuckooshrike,
Campocolinus albogularis,whtfra2,White-throated Francolin,
Campocolinus coqui,coqfra2,Coqui Francolin,
Camponotus confusus,,,
Camptostoma imberbe,nobtyr,Northern Beardless Tyrannulet,NOBT
Camptostoma obsoletum,sobtyr1,Southern Beardless Tyrannulet,SOBT
Campylopterus calcirupicola,gybsab4,Outcrop Sabrewing,
Campylopterus diamantinensis,gybsab5,Diamantina Sabrewing,
Campylopterus duidae,bubsab1,Buff-breasted Sabrewing,
Campylopterus ensipennis,whtsab1,White-tailed Sabrewing,
Campylopterus falcatus,lazsab1,Lazuline Sabrewing,
Campylopterus hemileucurus,viosab1,Violet Sabrewing,VISA
Campylopterus hyperythrus,rubsab1,Rufous-breasted Sabrewing,
Campylopterus largipennis,gybsab1,Grey-breasted Sabrewing,
Campylopterus phainopeplus,samsab1,Santa Marta Sabrewing,
Campylopterus villaviscensio,napsab1,Napo Sabrewing,
Campylorhamphus falcularius,blbscy1,Black-billed Scythebill,
Campylorhamphus multostriatus,cubscy5,Xingu Scythebill,
Campylorhamphus procurvoides,cubscy1,Curve-billed Scythebill,
Campylorhamphus pusillus,brbscy1,Brown-billed Scythebill,BBSC
Campylorhamphus trochilirostris,rebscy1,Red-billed Scythebill,RBSC
Campylorhynchus albobrunneus,whhwre1,White-headed Wren,WHWR
Campylorhynchus brunneicapillus,cacwre,Cactus Wren,CACW
Campylorhynchus capistratus,runwre4,Rufous-backed Wren,RBAW
Campylorhynchus chiapensis,giawre1,Giant Wren,GIWR
Campylorhynchus fasciatus,faswre1,Fasciated Wren,
Campylorhynchus griseus,bicwre1,Bicolored Wren,BIWR
Campylorhynchus gularis,spowre1,Spotted Wren,SPWR
Campylorhynchus humilis,runwre3,Russet-naped Wren,RNAW
Campylorhynchus jocosus,bouwre1,Boucard's Wren,BOWR
Campylorhynchus megalopterus,grbwre1,Grey-barred Wren,GBWR
Campylorhynchus nuchalis,stbwre2,Stripe-backed Wren,
Campylorhynchus rufinucha,runwre2,Veracruz Wren,VEWR
Campylorhynchus turdinus,thlwre1,Thrush-like Wren,
Campylorhynchus yucatanicus,yucwre1,Yucatan Wren,YUWR
Campylorhynchus zonatus,babwre1,Band-backed Wren,BABW
Canachites canadensis,sprgro,Spruce Grouse,SPGR
Canariola emarginata,,,
Canirallus oculeus,gytrai1,Grey-throated Rail,
Canis aureus,,,
Canis familiaris,,,
Canis latrans,,,
Canis lupaster,,,
Canis lupus,,,
Canis lycaon,,,
Cantareus apertus,,,
Cantorchilus elutus,istwre1,Isthmian Wren,ISWR
Cantorchilus griseus,grywre1,Grey Wren,
Cantorchilus guarayanus,fabwre1,Fawn-breasted Wren,
Cantorchilus leucopogon,sttwre1,Stripe-throated Wren,STWR
Cantorchilus leucotis,bubwre1,Buff-breasted Wren,BBRW
Cantorchilus longirostris,lobwre1,Long-billed Wren,
Cantorchilus modestus,plawre1,Cabanis's Wren,CABW
Cantorchilus nigricapillus,baywre1,Bay Wren,BAYW
Cantorchilus semibadius,rivwre1,Riverside Wren,RIWR
Cantorchilus superciliaris,supwre1,Superciliated Wren,
Cantorchilus thoracicus,stbwre1,Stripe-breasted Wren,SIBW
Cantorchilus zeledoni,plawre3,Canebrake Wren,CAKW
Capcicada decora,,,
Capito auratus,gilbar1,Gilded Barbet,
Capito aurovirens,sccbar1,Scarlet-crowned Barbet,
Capito brunneipectus,brcbar1,Brown-chested Barbet,
Capito dayi,blgbar1,Black-girdled Barbet,
Capito hypoleucus,whmbar1,White-mantled Barbet,
Capito maculicoronatus,spcbar1,Spot-crowned Barbet,SCBA
Capito niger,blsbar1,Black-spotted Barbet,
Capito quinticolor,ficbar1,Five-colored Barbet,
Capito squamatus,orfbar1,Orange-fronted Barbet,
Capito wallacei,scbbar2,Scarlet-banded Barbet,
Capnobotes arizonensis,,,
Capnobotes attenuatus,,,
Capnobotes bruneri,,,
Capnobotes fuliginosus,,,
Capnobotes occidentalis,,,
Capnobotes unodontus,,,
Capra caucasica,,,
Capra falconeri,,,
Capra hircus,,,
Capra ibex,,,
Capreolus capreolus,,,
Capreolus pygargus,,,
Capricornis swinhoei,,,
Caprimulgus aegyptius,egynig1,Egyptian Nightjar,
Caprimulgus affinis,savnig1,Savanna Nightjar,
Caprimulgus andamanicus,andnig1,Andaman Nightjar,
Caprimulgus asiaticus,indnig1,Indian Nightjar,
Caprimulgus atripennis,jernig1,Jerdon's Nightjar,
Caprimulgus batesi,batnig2,Bates's Nightjar,
Caprimulgus celebensis,sulnig1,Sulawesi Nightjar,
Caprimulgus clarus,sltnig1,Slender-tailed Nightjar,
Caprimulgus climacurus,lotnig1,Long-tailed Nightjar,
Caprimulgus concretus,bonnig1,Bonaparte's Nightjar,
Caprimulgus donaldsoni,dosnig1,Donaldson Smith's Nightjar,
Caprimulgus europaeus,eurnig1,European Nightjar,
Caprimulgus eximius,golnig1,Golden Nightjar,
Caprimulgus fossii,sqtnig1,Square-tailed Nightjar,
Caprimulgus fraenatus,somnig1,Sombre Nightjar,
Caprimulgus indicus,grynig2,Jungle Nightjar,
Caprimulgus inornatus,planig1,Plain Nightjar,
Caprimulgus jotaka,grynig1,Grey Nightjar,GRNI
Caprimulgus longipennis,stwnig1,Standard-winged Nightjar,
Caprimulgus macrurus,latnig2,Large-tailed Nightjar,
Caprimulgus madagascariensis,madnig1,Madagascar Nightjar,
Caprimulgus mahrattensis,syknig1,Sykes's Nightjar,
Caprimulgus manillensis,phinig1,Philippine Nightjar,
Caprimulgus meesi,meenig1,Mees's Nightjar,
Caprimulgus natalensis,swanig1,Swamp Nightjar,
Caprimulgus nubicus,nubnig1,Nubian Nightjar,
Caprimulgus pectoralis,finnig1,Fiery-necked Nightjar,
Caprimulgus phalaena,palnig1,Palau Nightjar,
Caprimulgus poliocephalus,monnig1,Montane Nightjar,
Caprimulgus pulchellus,salnig1,Salvadori's Nightjar,
Caprimulgus ruficollis,rennig1,Red-necked Nightjar,
Caprimulgus rufigena,rucnig1,Rufous-cheeked Nightjar,
Caprimulgus stellatus,stsnig1,Star-spotted Nightjar,
Caprimulgus tristigma,frenig1,Freckled Nightjar,
Caprimulgus vexillarius,pewnig1,Pennant-winged Nightjar,
Capromys pilorides,,,
Capsiempis flaveola,yeltyr1,Yellow Tyrannulet,YETY
Car,,,
Car_passing_by,,,
Caracal aurata,,,
Caracal caracal,,,
Caracara plancus,y00678,Crested Caracara,CRCA
Cardellina canadensis,canwar,Canada Warbler,CAWA
Cardellina pusilla,wlswar,Wilson's Warbler,WIWA
Cardellina rubra,redwar1,Red Warbler,REWA
Cardellina rubrifrons,refwar,Red-faced Warbler,RFWA
Cardellina versicolor,pihwar1,Pink-headed Warbler,PHWA
Cardinalis cardinalis,norcar,Northern Cardinal,NOCA
Cardinalis phoeniceus,vercar1,Vermilion Cardinal,
Cardinalis sinuatus,pyrrhu,Pyrrhuloxia,PYRR
Cardiodactylus guttulus,,,
Carduelis carduelis,eurgol,European Goldfinch,EGOL
Carduelis citrinella,citfin1,Citril Finch,
Carduelis corsicana,corfin1,Corsican Finch,
Cariama cristata,relser1,Red-legged Seriema,
Caridonax fulgidus,whrkin1,White-rumped Kingfisher,
Carineta cearana,,,
Carineta diardi,,,
Carineta gemella,,,
Carpococcyx radiceus,bogcuc1,Bornean Ground Cuckoo,
Carpococcyx renauldi,cbgcuc1,Coral-billed Ground Cuckoo,
Carpococcyx viridis,sugcuc1,Sumatran Ground Cuckoo,
Carpodacus davidianus,chbros1,Chinese Beautiful Rosefinch,
Carpodacus dubius,cwbros1,Chinese White-browed Rosefinch,
Carpodacus edwardsii,darros1,Dark-rumped Rosefinch,
Carpodacus erythrinus,comros,Common Rosefinch,CORO
Carpodacus formosanus,vinros3,Taiwan Rosefinch,
Carpodacus grandis,blyros1,Blyth's Rosefinch,
Carpodacus pulcherrimus,bearos1,Himalayan Beautiful Rosefinch,
Carpodacus puniceus,refros1,Red-fronted Rosefinch,
Carpodacus rhodochlamys,remros1,Red-mantled Rosefinch,
Carpodacus roborowskii,tibros1,Tibetan Rosefinch,
Carpodacus rodochroa,pibros2,Pink-browed Rosefinch,
Carpodacus rodopeplus,spwros2,Spot-winged Rosefinch,
Carpodacus roseus,palros2,Pallas's Rosefinch,PARO
Carpodacus rubicilla,greros1,Great Rosefinch,
Carpodacus rubicilloides,strros1,Streaked Rosefinch,
Carpodacus sibiricus,lotros1,Long-tailed Rosefinch,
Carpodacus sillemi,tahmof1,Sillem's Rosefinch,
Carpodacus sipahi,scafin1,Scarlet Finch,
Carpodacus stoliczkae,palros3,Pale Rosefinch,
Carpodacus subhimachalus,crbfin3,Crimson-browed Finch,
Carpodacus synoicus,sinros1,Sinai Rosefinch,
Carpodacus thura,whbros1,Himalayan White-browed Rosefinch,
Carpodacus trifasciatus,thbros1,Three-banded Rosefinch,
Carpodacus verreauxii,spwros3,Sharpe's Rosefinch,
Carpodacus vinaceus,vinros2,Vinaceous Rosefinch,
Carpodacus waltoni,pirros1,Pink-rumped Rosefinch,
Carpodectes hopkei,bltcot1,Black-tipped Cotinga,BTCO
Carpodectes nitidus,snocot1,Snowy Cotinga,SNCO
Carpornis cucullata,hoober2,Hooded Berryeater,
Carpornis melanocephala,bkhber1,Black-headed Berryeater,
Carpospiza brachydactyla,palroc1,Pale Rockfinch,
Carterornis castus,loemon1,Tanimbar Monarch,
Carterornis chrysomela,golmon1,Golden Monarch,
Carterornis leucotis,whemon1,White-eared Monarch,
Carterornis pileatus,whnmon1,White-naped Monarch,
Caryothraustes canadensis,yeggro1,Yellow-green Grosbeak,YGGR
Caryothraustes poliogaster,blfgro1,Black-faced Grosbeak,BFAG
Casiornis fuscus,astcas2,Ash-throated Casiornis,
Casiornis rufus,rufcas2,Rufous Casiornis,
Cassiculus melanicterus,yewcac1,Mexican Cacique,YWCA
Castanozoster thoracicus,bcwfin1,Bay-chested Warbling Finch,
Castor canadensis,,,
Castor fiber,,,
Casuarius bennetti,dwacas1,Dwarf Cassowary,
Casuarius casuarius,soucas1,Southern Cassowary,
Casuarius unappendiculatus,norcas1,Northern Cassowary,
Cat,,,
Catamblyrhynchus diadema,plushc1,Plushcap,
Catamenia analis,batsee1,Band-tailed Seedeater,
Catamenia homochroa,parsee1,Paramo Seedeater,
Catamenia inornata,plcsee1,Plain-colored Seedeater,
Catharopeza bishopi,whiwar1,Whistling Warbler,WHIW
Cathartes aura,turvul,Turkey Vulture,TUVU
Cathartes burrovianus,lyhvul1,Lesser Yellow-headed Vulture,LYHV
Cathartes melambrotus,gyhvul1,Greater Yellow-headed Vulture,
Catharus aurantiirostris,obnthr1,Orange-billed Nightingale-Thrush,OBNT
Catharus bicknelli,bicthr,Bicknell's Thrush,BITH
Catharus dryas,spnthr1,Yellow-throated Nightingale-Thrush,YTNT
Catharus frantzii,rcnthr1,Ruddy-capped Nightingale-Thrush,RCNT
Catharus fuscater,sbnthr1,Slaty-backed Nightingale-Thrush,SBNT
Catharus fuscescens,veery,Veery,VEER
Catharus gracilirostris,bbnthr1,Black-billed Nightingale-Thrush,BBNT
Catharus guttatus,herthr,Hermit Thrush,HETH
Catharus maculatus,sponit2,Speckled Nightingale-Thrush,
Catharus mexicanus,bhnthr1,Black-headed Nightingale-Thrush,BHNT
Catharus minimus,gycthr,Grey-cheeked Thrush,GCTH
Catharus occidentalis,runthr1,Russet Nightingale-Thrush,RUNT
Catharus ustulatus,swathr,Swainson's Thrush,SWTH
Catherpes mexicanus,canwre,Canyon Wren,CANW
Catopuma temminckii,,,
Catreus wallichii,chephe1,Cheer Pheasant,
Catriscus brevirostris,fatgra1,Fan-tailed Grassbird,
Cavia aperea,,,
Cavia porcellus,,,
Ceblepyris caesius,grycus1,Grey Cuckooshrike,
Ceblepyris cinereus,ashcus2,Madagascar Cuckooshrike,
Ceblepyris cucullatus,ashcus3,Comoro Cuckooshrike,
Ceblepyris pectoralis,whbcus2,White-breasted Cuckooshrike,
Cebuella pygmaea,,,
Cebus aequatorialis,,,
Cebus albifrons,,,
Cebus capucinus,,,
Cebus imitator,,,
Cebus kaapori,,,
Cebus olivaceus,,,
Cebus yuracus,,,
Cecropis abyssinica,lessts1,Lesser Striped Swallow,
Cecropis badia,rubswa1,Rufous-bellied Swallow,
Cecropis cucullata,grests1,Greater Striped Swallow,
Cecropis daurica,y00621,Eastern Red-rumped Swallow,
Cecropis hyperythra,srlswa1,Sri Lanka Swallow,
Cecropis rufula,rerswa8,European Red-rumped Swallow,
Cecropis semirufa,rucswa2,Red-breasted Swallow,
Cecropis senegalensis,mosswa2,Mosque Swallow,
Celebesica abbotti,pygcus1,Pygmy Cuckooshrike,
Celeus castaneus,chcwoo1,Chestnut-colored Woodpecker,CCOW
Celeus elegans,chewoo2,Chestnut Woodpecker,
Celeus flavescens,blcwoo4,Blond-crested Woodpecker,
Celeus flavus,crcwoo2,Cream-colored Woodpecker,
Celeus galeatus,helwoo1,Helmeted Woodpecker,
Celeus loricatus,cinwoo1,Cinnamon Woodpecker,CIWO
Celeus lugubris,pacwoo1,Pale-crested Woodpecker,
Celeus obrieni,caawoo1,Kaempfer's Woodpecker,
Celeus ochraceus,blcwoo5,Ochre-backed Woodpecker,
Celeus spectabilis,ruhwoo1,Rufous-headed Woodpecker,
Celeus torquatus,rinwoo1,Ringed Woodpecker,
Celeus undatus,wavwoo5,Variable Woodpecker,
Centrocercus minimus,gusgro,Gunnison Grouse,GUSG
Centrocercus urophasianus,saggro,Sage Grouse,GRSG
Centrochelys sulcata,,,
Centrolene savagei,,,
Centronyx bairdii,baispa,Baird's Sparrow,BAIS
Centronyx henslowii,henspa,Henslow's Sparrow,HESP
Centropus andamanensis,andcou1,Andaman Coucal,
Centropus anselli,gabcou1,Gabon Coucal,
Centropus ateralbus,piecou1,White-necked Coucal,
Centropus bengalensis,lescou1,Lesser Coucal,
Centropus bernsteini,lebcou1,Black-billed Coucal,
Centropus burchellii,whbcou3,Burchell's Coucal,
Centropus celebensis,baycou1,Bay Coucal,
Centropus chalybeus,biacou1,Biak Coucal,
Centropus chlororhynchos,grbcou2,Green-billed Coucal,
Centropus cupreicaudus,cotcou1,Coppery-tailed Coucal,
Centropus goliath,golcou1,Goliath Coucal,
Centropus grillii,blacou1,Black Coucal,
Centropus leucogaster,bltcou1,Black-throated Coucal,
Centropus melanops,blfcou1,Black-faced Coucal,
Centropus menbeki,grbcou1,Ivory-billed Coucal,
Centropus milo,buhcou1,Buff-headed Coucal,
Centropus monachus,blhcou2,Blue-headed Coucal,
Centropus nigrorufus,suncou1,Sunda Coucal,
Centropus phasianinus,phecou2,Pheasant Coucal,
Centropus rectunguis,shtcou1,Short-toed Coucal,
Centropus senegalensis,sencou1,Senegal Coucal,
Centropus sinensis,grecou1,Greater Coucal,
Centropus steerii,blhcou1,Black-hooded Coucal,
Centropus superciliosus,whbcou2,White-browed Coucal,
Centropus toulou,madcou1,Malagasy Coucal,
Centropus unirufus,rufcou1,Rufous Coucal,
Centropus violaceus,viocou1,Violaceous Coucal,
Centropus viridis,phicou1,Philippine Coucal,
Cepaea hortensis,,,
Cephalophorus harveyi,,,
Cephalopterus glabricollis,banumb1,Bare-necked Umbrellabird,BNUM
Cephalopterus ornatus,amaumb1,Amazonian Umbrellabird,
Cephalopterus penduliger,lowumb1,Long-wattled Umbrellabird,
Cephalopyrus flammiceps,fictit1,Fire-capped Tit,
Cepphus columba,piggui,Pigeon Guillemot,PIGU
Cepphus grylle,blkgui,Black Guillemot,BLGU
Ceraeocercus fuscipennis,,,
Cerambyx cerdo,,,
Cerambyx scopolii,,,
Ceratogymna atrata,blchor1,Black-casqued Hornbill,
Ceratogymna elata,yechor1,Yellow-casqued Hornbill,
Ceratophrys cornuta,,,
Ceratophrys cranwelli,,,
Ceratophrys ornata,,,
Ceratophyus hoffmannseggi,,,
Ceratopipra chloromeros,rotman1,Round-tailed Manakin,
Ceratopipra cornuta,schman1,Scarlet-horned Manakin,
Ceratopipra erythrocephala,gohman1,Golden-headed Manakin,GHMA
Ceratopipra mentalis,recman1,Red-capped Manakin,RCMA
Ceratopipra rubrocapilla,rehman1,Red-headed Manakin,
Ceratotherium simum,,,
Cercibis oxycerca,shtibi1,Sharp-tailed Ibis,
Cercocebus atys,,,
Cercocebus chrysogaster,,,
Cercocebus torquatus,,,
Cercococcyx mechowi,dltcuc1,Dusky Long-tailed Cuckoo,
Cercococcyx montanus,bltcuc1,Barred Long-tailed Cuckoo,
Cercococcyx olivinus,oltcuc1,Olive Long-tailed Cuckoo,
Cercomacra brasiliana,rdjant1,Rio de Janeiro Antbird,
Cercomacra carbonaria,ribant1,Rio Branco Antbird,
Cercomacra cinerascens,gryant2,Grey Antbird,
Cercomacra ferdinandi,banant1,Bananal Antbird,
Cercomacra manu,manant1,Manu Antbird,
Cercomacra melanaria,magant1,Mato Grosso Antbird,
Cercomacra nigricans,jetant1,Jet Antbird,JEAN
Cercomacroides fuscicauda,blaant5,Riparian Antbird,
Cercomacroides laeta,wilant1,Willis's Antbird,
Cercomacroides nigrescens,blaant4,Blackish Antbird,
Cercomacroides parkeri,parant2,Parker's Antbird,
Cercomacroides serva,blaant2,Black Antbird,
Cercomacroides tyrannina,dusant1,Dusky Antbird,DUAN
Cercopis vulnerata,,,
Cercopithecus ascanius,,,
Cercopithecus campbelli,,,
Cercopithecus cephus,,,
Cercopithecus diana,,,
Cercopithecus hamlyni,,,
Cercopithecus lowei,,,
Cercopithecus mitis,,,
Cercopithecus mona,,,
Cercopithecus neglectus,,,
Cercopithecus nictitans,,,
Cercopithecus petaurista,,,
Cercopithecus pogonias,,,
Cercotrichas galactotes,rutscr1,Rufous-tailed Scrub Robin,
Cercotrichas hartlaubi,bbsrob1,Brown-backed Scrub Robin,
Cercotrichas leucophrys,rbsrob1,White-browed Scrub Robin,
Cercotrichas paena,kasrob1,Kalahari Scrub Robin,
Cercotrichas podobe,blsrob1,Black Scrub Robin,
Cerdocyon thous,,,
Cereopsis novaehollandiae,cabgoo1,Cape Barren Goose,
Cerorhinca monocerata,rhiauk,Rhinoceros Auklet,RHAU
Certhia americana,brncre,Brown Creeper,BRCR
Certhia brachydactyla,shttre1,Short-toed Treecreeper,
Certhia discolor,bnttre1,Sikkim Treecreeper,
Certhia familiaris,eurtre1,Eurasian Treecreeper,
Certhia himalayana,battre1,Bar-tailed Treecreeper,
Certhia hodgsoni,eurtre3,Hodgson's Treecreeper,
Certhia manipurensis,bnttre2,Hume's Treecreeper,
Certhia nipalensis,ruftre4,Rusty-flanked Treecreeper,
Certhia tianquanensis,sictre1,Sichuan Treecreeper,
Certhiasomus stictolaemus,sptwoo1,Spot-throated Woodcreeper,
Certhiaxis cinnamomeus,yecspi2,Yellow-chinned Spinetail,
Certhiaxis mustelinus,rawspi2,Red-and-white Spinetail,
Certhidea fusca,grywaf1,Grey Warbler-Finch,
Certhidea olivacea,warfin1,Green Warbler-Finch,
Certhilauda chuana,shclar1,Short-clawed Lark,
Certhilauda curvirostris,y00415,Cape Long-billed Lark,
Certhilauda semitorquata,elblar1,Eastern Long-billed Lark,
Certhilauda subcoronata,klblar6,Karoo Long-billed Lark,
Certhionyx variegatus,piehon1,Pied Honeyeater,
Cervus albirostris,,,
Cervus canadensis,,,
Cervus elaphus,,,
Cervus nippon,,,
Ceryle rudis,piekin1,Pied Kingfisher,
Cetonia aurata,,,
Cettia brunnifrons,gysbuw1,Grey-sided Bush Warbler,
Cettia castaneocoronata,chhtes1,Chestnut-headed Tesia,
Cettia cetti,cetwar1,Cetti's Warbler,
Cettia major,ccbwar1,Chestnut-crowned Bush Warbler,
Ceuthmochares aereus,yellow5,Blue Malkoha,
Ceuthmochares australis,yellow6,Green Malkoha,
Ceyx argentatus,silkin1,Southern Silvery Kingfisher,
Ceyx azureus,azukin1,Azure Kingfisher,
Ceyx collectoris,vardwk11,New Georgia Dwarf Kingfisher,
Ceyx cyanopectus,inbkin2,Indigo-banded Kingfisher,
Ceyx erithaca,bkbkin1,Black-backed Dwarf Kingfisher,
Ceyx fallax,sulkin1,Sulawesi Dwarf Kingfisher,
Ceyx flumenicola,norsik1,Northern Silvery Kingfisher,
Ceyx gentianus,vardwk15,Makira Dwarf Kingfisher,
Ceyx lepidus,varkin1,Moluccan Dwarf Kingfisher,
Ceyx margarethae,vardwk1,Dimorphic Dwarf Kingfisher,
Ceyx meeki,nosdwk1,North Solomons Dwarf Kingfisher,
Ceyx melanurus,phikin1,Philippine Dwarf Kingfisher,
Ceyx nigromaxilla,guadwk1,Guadalcanal Dwarf Kingfisher,
Ceyx pusillus,litkin1,Little Kingfisher,
Ceyx solitarius,vardwk6,Papuan Dwarf Kingfisher,
Chacophrys pierottii,,,
Chaetocercus astreans,samwoo2,Santa Marta Woodstar,
Chaetocercus berlepschi,esmwoo2,Esmeraldas Woodstar,
Chaetocercus bombus,litwoo5,Little Woodstar,
Chaetocercus heliodor,gorwoo2,Gorgeted Woodstar,
Chaetocercus mulsant,whbwoo6,White-bellied Woodstar,
Chaetops aurantius,orbroc1,Drakensberg Rockjumper,
Chaetops frenatus,rufroc1,Cape Rockjumper,
Chaetorhynchus papuensis,papdro1,Drongo Fantail,
Chaetura brachyura,shtswi1,Short-tailed Swift,STSW
Chaetura chapmani,chaswi2,Chapman's Swift,CHAS
Chaetura cinereiventris,grrswi1,Grey-rumped Swift,GRSW
Chaetura egregia,parswi1,Pale-rumped Swift,
Chaetura fumosa,corswi,Costa Rican Swift,CRSW
Chaetura martinica,leaswi1,Lesser Antillean Swift,LASW
Chaetura meridionalis,sicswi1,Sick's Swift,SISW
Chaetura pelagica,chiswi,Chimney Swift,CHSW
Chaetura spinicaudus,barswi,Band-rumped Swift,BRSW
Chaetura vauxi,vauswi,Vaux's Swift,VASW
Chalcites basalis,hobcuc1,Horsfield's Bronze Cuckoo,
Chalcites lucidus,shbcuc1,Shining Bronze Cuckoo,
Chalcites megarhynchus,lobcuc1,Long-billed Cuckoo,
Chalcites meyerii,webcuc1,White-eared Bronze Cuckoo,
Chalcites minutillus,libcuc1,Little Bronze Cuckoo,
Chalcites osculans,blecuc1,Black-eared Cuckoo,
Chalcites ruficollis,rtbcuc1,Rufous-throated Bronze Cuckoo,
Chalcomitra adelberti,butsun2,Buff-throated Sunbird,
Chalcomitra amethystina,amesun2,Amethyst Sunbird,
Chalcomitra balfouri,socsun2,Socotra Sunbird,
Chalcomitra fuliginosa,carsun2,Carmelite Sunbird,
Chalcomitra hunteri,hunsun2,Hunter's Sunbird,
Chalcomitra rubescens,gntsun1,Green-throated Sunbird,
Chalcomitra senegalensis,sccsun2,Scarlet-chested Sunbird,
Chalcoparia singalensis,rucsun2,Ruby-cheeked Sunbird,
Chalcophaps indica,emedov2,Common Emerald Dove,
Chalcophaps longirostris,emedov3,Pacific Emerald Dove,
Chalcophaps stephani,stedov1,Stephan's Emerald Dove,
Chalcophora virginiensis,,,
Chalcopsitta atra,blalor1,Black Lory,
Chalcopsitta cardinalis,carlor1,Cardinal Lory,
Chalcopsitta duivenbodei,brolor1,Brown Lory,
Chalcopsitta fuscata,duslor1,Dusky Lory,
Chalcopsitta scintillata,yeslor1,Yellow-streaked Lory,
Chalcorana chalconota,,,
Chalcostigma herrani,rabtho1,Rainbow-bearded Thornbill,
Chalcostigma heteropogon,brttho1,Bronze-tailed Thornbill,
Chalcostigma olivaceum,olitho1,Olivaceous Thornbill,
Chalcostigma ruficeps,ructho1,Rufous-capped Thornbill,
Chalcostigma stanleyi,blmtho1,Blue-mantled Thornbill,
Chalcothraupis ruficervix,gontan1,Golden-naped Tanager,
Chalybura buffonii,whvplu1,White-vented Plumeleteer,WVPL
Chalybura urochrysia,brtplu1,Bronze-tailed Plumeleteer,BTPL
Chamaea fasciata,wrenti,Wrentit,WREN
Chamaeleo dilepis,,,
Chamaepetes goudotii,siwgua1,Sickle-winged Guan,
Chamaepetes unicolor,blagua1,Black Guan,BLAG
Chamaetylas choloensis,choale1,Thyolo Alethe,
Chamaetylas fuelleborni,whcale1,White-chested Alethe,
Chamaetylas poliocephala,brcale1,Brown-chested Alethe,
Chamaetylas poliophrys,retale1,Red-throated Alethe,
Chamaeza campanisona,shtant1,Short-tailed Antthrush,
Chamaeza meruloides,sucant1,Cryptic Antthrush,
Chamaeza mollissima,barant2,Barred Antthrush,
Chamaeza nobilis,strant3,Striated Antthrush,
Chamaeza ruficauda,rutant2,Rufous-tailed Antthrush,
Chamaeza turdina,schant1,Schwartz's Antthrush,
